GateV	--
7.09999990463257	7.84908280593299E-8
7.19999980926514	8.06229536465253E-8
7.30000019073486	8.55531183674429E-8
7.40000009536743	9.29854380160577E-8
7.5	9.49069871580832E-8
7.59999990463257	9.7140755883629E-8
7.69999980926514	9.89929347383622E-8
7.80000019073486	1.01124555840215E-7
7.90000009536743	1.03518630112376E-7
8	1.11919760570345E-7
8.10000038146973	1.18285257144635E-7
8.19999980926514	1.21563260790936E-7
8.30000019073486	1.28061870441343E-7
8.39999961853027	1.29770597823153E-7
8.5	1.26588233229086E-7
8.60000038146973	1.37471886318963E-7
8.69999980926514	1.53178376649521E-7
8.80000019073486	1.59313174208364E-7
8.89999961853027	1.61551369615154E-7
9	1.66575574667149E-7
9.10000038146973	1.74864766222527E-7
9.19999980926514	1.79209152406656E-7
9.30000019073486	1.83979324219763E-7
9.39999961853027	1.82989708719106E-7
9.5	1.88962047786845E-7
9.60000038146973	1.92763195627776E-7
9.69999980926514	1.95167402239349E-7
9.80000019073486	2.04696590344611E-7
9.89999961853027	2.13823469152885E-7
10	2.19716753235844E-7
10.1000003814697	2.21942485723048E-7
10.1999998092651	2.26823999582848E-7
10.3000001907349	2.27812577691111E-7
10.3999996185303	2.3110838753837E-7
10.5	2.34361522188919E-7
10.6000003814697	2.39100842236439E-7
10.6999998092651	2.46838595785448E-7
10.8000001907349	2.50352400144038E-7
10.8999996185303	2.57372590795057E-7
11	2.69546632125639E-7
11.1000003814697	2.75145538353172E-7
11.1999998092651	2.80635674698715E-7
11.3000001907349	2.80825702247967E-7
11.3999996185303	2.85410237665928E-7
11.5	2.91492085580103E-7
11.6000003814697	2.94995459171332E-7
11.6999998092651	2.9646656685145E-7
11.8000001907349	3.04785402249763E-7
11.8999996185303	3.11542038389234E-7
12	3.16680171863482E-7
12.1000003814697	3.16146923751148E-7
12.1999998092651	3.19528538739178E-7
12.3000001907349	3.25117781585504E-7
12.3999996185303	3.29000897636433E-7
12.5	3.3383417985533E-7
12.6000003814697	3.33116418005375E-7
12.6999998092651	3.33470779878553E-7
12.8000001907349	3.44489990311558E-7
12.8999996185303	3.53113335904709E-7
13	3.51564665379556E-7
13.1000003814697	3.52214414078844E-7
13.1999998092651	3.56556114411433E-7
13.3000001907349	3.6273362979955E-7
13.3999996185303	3.69225290342001E-7
13.5	3.72519934899174E-7
13.6000003814697	3.8297477544802E-7
13.6999998092651	3.9642074511903E-7
13.8000001907349	3.98283589220227E-7
13.8999996185303	4.06918871931339E-7
14	4.09298621661947E-7
14.1000003814697	4.13024906720239E-7
14.1999998092651	4.22051357418241E-7
14.3000001907349	4.27627156796007E-7
14.3999996185303	4.30132985229648E-7
14.5	4.38013415759997E-7
14.6000003814697	4.33394092169692E-7
14.6999998092651	4.37797098129522E-7
14.8000001907349	4.45569412477198E-7
14.8999996185303	4.49867656016067E-7
15	4.55114957276237E-7
15.1000003814697	4.54649978109956E-7
15.1999998092651	4.66160344103628E-7
15.3000001907349	4.73516621468661E-7
15.3999996185303	4.76830592788247E-7
15.5	4.76627576517785E-7
15.6000003814697	4.76797168857956E-7
15.6999998092651	4.79179050216771E-7
15.8000001907349	4.86389694742684E-7
15.8999996185303	4.91984906147991E-7
16	4.9786143563324E-7
16.1000003814697	5.0787946292985E-7
16.2000007629395	5.1492304464773E-7
16.2999992370605	5.21983793078107E-7
16.3999996185303	5.23356789017271E-7
16.5	5.2922132454114E-7
16.6000003814697	5.37633241037838E-7
16.7000007629395	5.44762315257685E-7
16.7999992370605	5.48240336684103E-7
16.8999996185303	5.53718848550488E-7
17	5.5753395145075E-7
17.1000003814697	5.6215202448584E-7
17.2000007629395	5.62698232897674E-7
17.2999992370605	5.63113303542195E-7
17.3999996185303	5.67316533306439E-7
17.5	5.68464599837171E-7
17.6000003814697	5.73626664390758E-7
17.7000007629395	5.7797171848506E-7
